aa,aar,Afar
ab,abk,Abkhazian
ae,ave,Avestan
af,afr,Afrikaans
ak,aka,Akan
am,amh,Amharic
an,arg,Aragonese
ar,ara,Arabic
as,asm,Assamese
av,ava,Avaric
ay,aym,Aymara
az,aze,Azerbaijani
ba,bak,Bashkir
be,bel,Belarusian
bg,bul,Bulgarian
bh,bih,Bihari,Bihari languages
bi,bis,Bislama
bm,bam,Bambara
bn,ben,Bengali
bo,tib,Tibetan
br,bre,Breton
bs,bos,Bosnian
ca,cat,Catalan
ce,che,Chechen
ch,cha,Chamorro
co,cos,Corsican
cr,cre,Cree
cs,cze,Czech
cu,chu,Church Slavic
cv,chv,Chuvash
cy,wel,Welsh
da,dan,Danish
de,ger,German
dv,div,Divehi
dz,dzo,Dzongkha
ee,ewe,Ewe
el,gre,Greek
en,eng,English
eo,epo,Esperanto
es,spa,Spanish
et,est,Estonian
eu,baq,Basque
fa,per,Persian,Farsi
ff,ful,Fulah
fi,fin,Finnish
fj,fij,Fijian
fo,fao,Faroese
fr,fre,French
fy,fry,Western Frisian
ga,gle,Irish
gd,gla,Gaelic,Scottish Gaelic
gl,glg,Galician
gn,grn,Guarani
gu,guj,Gujarati
gv,glv,Manx
ha,hau,Hausa
he,heb,Hebrew
hi,hin,Hindi
ho,hmo,Hiri Motu
hr,hrv,Croatian
ht,hat,Haitian
hu,hun,Hungarian
hy,arm,Armenian
hz,her,Herero
ia,ina,Interlingua
id,ind,Indonesian
ie,ile,Interlingue
ig,ibo,Igbo
ii,iii,Sichuan Yi
ik,ipk,Inupiaq
,kha,Khasi
io,ido,Ido
is,ice,Icelandic
it,ita,Italian
iu,iku,Inuktitut
ja,jpn,Japanese
jb,jbo,Lojban
jv,jav,Javanese
ka,geo,Georgian
kg,kon,Kongo
ki,kik,Kikuyu
kj,kua,Kwanyama,Kuanyama,Cuanhama
kk,kaz,Kazakh
kl,kal,Kalaallisut
km,khm,Khmer
kn,kan,Kannada
ko,kor,Korean
kr,kau,Kanuri
ks,kas,Kashmiri
ku,kur,Kurdish
kv,kom,Komi
kw,cor,Cornish
ky,kir,Kirghiz
la,lat,Latin
lb,ltz,Luxembourgish
lg,lug,Ganda
li,lim,Limburgish,Limburgan,Limburgian,Limburgic
ln,lin,Lingala
lo,lao,Lao
lt,lit,Lithuanian
lu,lub,Luba-Katanga
lv,lav,Latvian
mg,mlg,Malagasy
mh,mah,Marshallese
mi,mao,Maori
mk,mac,Macedonian
ml,mal,Malayalam
mn,mon,Mongolian
mr,mar,Marathi
ms,may,Malay
mt,mlt,Maltese
my,bur,Burmese
na,nau,Nauru
nb,nob,Norwegian Bokmal
nd,nde,North Ndebele
ne,nep,Nepali
ng,ndo,Ndonga
nl,dut,Dutch
nn,nno,Norwegian Nynorsk
no,nor,Norwegian
nr,nbl,South Ndebele
nv,nav,Navajo
ny,nya,Chichewa
oc,oci,Occitan
oj,oji,Ojibwa
om,orm,Oromo
or,ori,Oriya
os,oss,Ossetian
pa,pan,Panjabi
pi,pli,Pali
pl,pol,Polish
ps,pus,Pashto
pt,por,Portuguese
qu,que,Quechua
rm,roh,Raeto-Romance
rn,run,Kirundi
ro,rum,Romanian
ru,rus,Russian
rw,kin,Kinyarwanda
sa,san,Sanskrit
sc,srd,Sardinian
sd,snd,Sindhi
se,sme,Northern Sami
sg,sag,Sango
sh,shr,Serbo-Croatian
si,sin,Sinhala
sk,slo,Slovak
sl,slv,Slovenian
sm,smo,Samoan
sn,sna,Shona
so,som,Somali
sq,alb,Albanian
sr,srp,Serbian
ss,ssw,Swati
st,sot,Sotho,Southern Sotho
su,sun,Sundanese
sv,swe,Swedish
sw,swa,Swahili
ta,tam,Tamil
te,tel,Telugu
tg,tgk,Tajik
th,tha,Thai
ti,tir,Tigrinya
tk,tuk,Turkmen
tl,tgl,Tagalog
tn,tsn,Tswana
to,ton,Tonga
tr,tur,Turkish
ts,tso,Tsonga
tt,tat,Tatar
tw,twi,Twi
ty,tah,Tahitian
ug,uig,Uighur
uk,ukr,Ukrainian
ur,urd,Urdu
uz,uzb,Uzbek
ve,ven,Venda
vi,vie,Vietnamese
vo,vol,Volapuk,Volapük
wa,wln,Walloon
wo,wol,Wolof
xh,xho,Xhosa
yi,yid,Yiddish
yo,yor,Yoruba
za,zha,Zhuang
zh,chi,Chinese
zu,zul,Zulu
