id,kind,author
12,issue,tuxor1337
13,pull,tuxor1337
14,issue,salarmehr
19,issue,niosus
21,issue,ratijas
23,pull,ratijas
25,pull,ratijas
31,issue,ratijas
38,pull,ratijas
41,pull,ratijas
42,pull,ratijas
43,issue,GarrisonBaird
47,issue,ninyawee
48,issue,wanglongqi
54,issue,VahidN
55,issue,VahidN
56,issue,tringham
57,issue,ilius
58,issue,Phecda
61,issue,vsemozhetbyt
66,issue,Behrouz-m
67,issue,Behrouz-m
71,issue,anthay
72,issue,anthay
75,issue,ousia
77,issue,ousia
78,issue,Behrouz-m
81,issue,Jincong
84,issue,Proxy305
92,issue,Abs62
93,issue,Abs62
94,issue,MonsterMMORPG
98,issue,rlue
102,issue,X901
106,issue,retrography
112,issue,vudangthinh
115,issue,paconaranjo
116,issue,kolya-ay
118,issue,jsmm
119,issue,paconaranjo
129,issue,ridethepig
130,issue,ridethepig
135,issue,sipryan
136,issue,sipryan
137,issue,sipryan
140,pull,hmgqzx
141,pull,sarahzrf
147,issue,softmastx
160,issue,raymond0517
162,pull,mtlive
168,issue,humenda
169,issue,humenda
174,issue,maxlipsky
176,issue,SimplyMiles
177,pull,tsihyoung
187,pull,h-c-mueller
188,issue,pixiandouban
189,pull,emfox
193,issue,zimq
198,issue,slukits
199,issue,caspersun-neko
202,pull,linzhp
203,issue,jackiezxt
205,issue,karlb
206,issue,karlb
212,pull,karlb
213,pull,jeffery9
215,issue,ilius
216,issue,jeffery9
219,issue,karlb
221,issue,GrimPixel2
222,pull,pgaskin
223,pull,pgaskin
224,issue,sobaee
227,pull,karlb
232,pull,karlb
235,issue,kedryte
236,issue,sobaee
238,pull,ilius
239,issue,homocomputeris
243,issue,sobaee
244,issue,sobaee
245,pull,ilius
246,issue,ilius
249,issue,qoheniac
250,pull,doozan
251,issue,doozan
252,issue,godfatherjohn
254,issue,Tanerx
256,issue,Ashen91
258,issue,qnga
261,issue,shahram7
264,issue,Markismus
265,issue,Markismus
267,issue,sobaee
268,issue,sobaee
270,issue,sobaee
271,issue,sobaee
275,issue,subsvizor
276,issue,sobaee
277,issue,shahram7
282,issue,july0516
284,issue,chopinesque
289,issue,rhjdvsgsgks
294,issue,swe144
296,issue,chopinesque
298,issue,chopinesque
299,issue,dxcore35
300,issue,dxcore35
301,issue,dxcore35
304,pull,darkgeek
306,issue,thinh105
307,issue,Andrej-Adamenko
309,issue,ngankt2
316,pull,germn
317,pull,ashwinvis
321,issue,DeathByNukes
322,issue,hendursaga
323,issue,satirdanKahraman
324,issue,kiicia
327,issue,camerooncameroon
328,issue,camerooncameroon
329,issue,andre0s
330,issue,KamlaK10
332,pull,kevinsung
333,pull,timgates42
335,pull,Mumumu4
338,issue,Freghette
341,issue,Vuizur
342,issue,hadingtid
343,issue,hadingtid
344,issue,shahram7
346,issue,Vuizur
348,issue,elchamaco1
350,issue,clach04
351,issue,clach04
352,issue,sobaee
354,pull,clach04
355,issue,dthirst
358,issue,lasconic
359,issue,g6ai
360,pull,BoboTiG
361,pull,BoboTiG
362,issue,Dark-Existed
363,issue,giorgiosironi
365,issue,sobaee
366,issue,sobaee
367,issue,doozan
368,issue,fuhadabdulla
370,issue,doozan
372,issue,holyspiritomb
374,pull,holyspiritomb
375,issue,Vuizur
376,issue,boydkelly
380,pull,Eloston
382,issue,homocomputeris
383,issue,homocomputeris
384,issue,ghost
385,pull,xiaoqiangwang
386,issue,epistularum
387,pull,xiaoqiangwang
392,issue,Digital-XxX
393,pull,tomtung
394,pull,tomtung
395,pull,tomtung
396,issue,0capitao
398,pull,kianmeng
401,issue,ww00xx
403,issue,peterstamps
407,issue,boydkelly
409,issue,windwerfer
410,issue,windwerfer
412,issue,EvanLuo42
414,pull,proletarius101
417,pull,soshial
418,pull,soshial
422,issue,polo2137
424,issue,EvanLuo42
425,issue,emfox
426,issue,Foxtrod89
427,pull,soshial
428,issue,homocomputeris
430,pull,soshial
434,pull,soshial
436,pull,soshial
437,issue,soshial
439,issue,soshial
441,issue,pk49800
442,issue,soshial
446,issue,StefanVukovic99
447,pull,BoboTiG
448,issue,Sentoss
451,issue,llyonard
456,issue,homocomputeris
458,issue,soshial
460,pull,ilius
461,pull,master-bob
463,issue,zpuskas
466,issue,soshial
473,issue,whabbot
474,issue,whabbot
476,pull,soshial
477,issue,soshial
480,pull,soshial
482,issue,soshial
483,issue,soshial
484,pull,soshial
485,pull,soshial
487,issue,soshial
488,pull,ratijas
489,pull,ratijas
491,issue,soshial
492,pull,ilius
496,issue,soshial
497,issue,soshial
499,issue,soshial
501,issue,soshial
503,issue,soshial
504,issue,soshial
506,issue,ksignorini
507,issue,soshial
508,issue,soshial
509,pull,tuxor1337
511,pull,Crissium
512,pull,bergentroll
514,pull,ilius
515,pull,ilius
518,pull,bergentroll
522,issue,Botje212
525,issue,east2dd
528,issue,Pr0pHesyer
529,issue,ailin-nemui
531,pull,proletarius101
532,issue,soshial
534,pull,glowinthedark
535,pull,Jfrylmlch
537,issue,soshial
